1000 500
562 866 80
563 863 132
565 645 223
568 894 127
569 734 88
570 697 238
571 787 200
574 712 140
575 767 37
576 588 66
577 873 143
578 693 250
583 996 154
588 651 73
591 950 276
592 895 107
594 931 216
596 820 267
608 993 232
611 872 123
613 883 123
616 833 281
617 886 146
621 982 203
622 771 283
622 690 12
623 842 177
628 789 65
629 942 197
630 867 137
631 663 165
631 690 35
633 839 187
633 938 34
634 790 166
634 693 55
646 873 15
648 765 239
650 689 299
650 835 118
653 832 198
653 727 254
654 791 10
655 984 199
659 790 212
661 914 93
663 697 101
666 722 184
668 882 213
668 733 2
669 991 264
670 995 271
681 864 95
684 996 190
687 931 239
689 699 268
689 852 46
693 892 258
697 781 281
715 797 245
719 915 220
727 972 200
727 800 300
732 886 221
733 835 113
736 997 106
738 979 41
745 843 14
749 977 79
751 906 151
755 876 24
757 965 38
763 982 294
768 963 208
773 901 229
776 975 70
780 915 262
790 897 248
792 864 5
796 925 190
801 832 82
811 827 177
815 838 300
828 981 152
843 873 24
844 961 198
844 936 135
852 919 188
859 935 101
875 978 150
884 955 17
889 910 211
890 976 266
894 995 38
899 915 245
903 948 228
913 978 151
915 920 217
919 927 71
922 927 233
